fips_code,lim_timestamp,case_4b_prob,date
48001,5/24/25 0:00,0,24-May
48001,5/24/25 1:00,0,24-May
48001,5/24/25 2:00,0,24-May
48001,5/24/25 3:00,0,24-May
48001,5/24/25 4:00,0,24-May
48001,5/24/25 5:00,0,24-May
48001,5/24/25 6:00,0,24-May
48001,5/24/25 7:00,0,24-May
48001,5/24/25 8:00,0,24-May
48001,5/24/25 9:00,0,24-May
48001,5/24/25 10:00,0,24-May
48001,5/24/25 11:00,0,24-May
48001,5/24/25 12:00,0,24-May
48001,5/24/25 13:00,0,24-May
48001,5/24/25 14:00,0,24-May
48001,5/24/25 15:00,0,24-May
48001,5/24/25 16:00,0,24-May
48001,5/24/25 17:00,0,24-May
48001,5/24/25 18:00,0,24-May
48001,5/24/25 19:00,0,24-May
48001,5/24/25 20:00,0,24-May
48001,5/24/25 21:00,0,24-May
48001,5/24/25 22:00,0,24-May
48001,5/24/25 23:00,0,24-May
48003,5/24/25 0:00,0,24-May
48003,5/24/25 1:00,0,24-May
48003,5/24/25 2:00,0,24-May
48003,5/24/25 3:00,0,24-May
48003,5/24/25 4:00,0,24-May
48003,5/24/25 5:00,0.008333333,24-May
48003,5/24/25 6:00,0.008333333,24-May
48003,5/24/25 7:00,0,24-May
48003,5/24/25 8:00,0,24-May
48003,5/24/25 9:00,0,24-May
48003,5/24/25 10:00,0,24-May
48003,5/24/25 11:00,0,24-May
48003,5/24/25 12:00,0,24-May
48003,5/24/25 13:00,0,24-May
48003,5/24/25 14:00,0.008333333,24-May
48003,5/24/25 15:00,0.008333333,24-May
48003,5/24/25 16:00,0.008333333,24-May
48003,5/24/25 17:00,0.008333333,24-May
48003,5/24/25 18:00,0.008333333,24-May
48003,5/24/25 19:00,0,24-May
48003,5/24/25 20:00,0,24-May
48003,5/24/25 21:00,0,24-May
48003,5/24/25 22:00,0,24-May
48003,5/24/25 23:00,0,24-May
48005,5/24/25 0:00,0,24-May
48005,5/24/25 1:00,0,24-May
48005,5/24/25 2:00,0,24-May
48005,5/24/25 3:00,0,24-May
48005,5/24/25 4:00,0,24-May
48005,5/24/25 5:00,0,24-May
48005,5/24/25 6:00,0,24-May
48005,5/24/25 7:00,0,24-May
48005,5/24/25 8:00,0,24-May
48005,5/24/25 9:00,0,24-May
48005,5/24/25 10:00,0,24-May
48005,5/24/25 11:00,0,24-May
48005,5/24/25 12:00,0,24-May
48005,5/24/25 13:00,0,24-May
48005,5/24/25 14:00,0,24-May
48005,5/24/25 15:00,0,24-May
48005,5/24/25 16:00,0,24-May
48005,5/24/25 17:00,0,24-May
48005,5/24/25 18:00,0,24-May
48005,5/24/25 19:00,0,24-May
48005,5/24/25 20:00,0,24-May
48005,5/24/25 21:00,0,24-May
48005,5/24/25 22:00,0,24-May
48005,5/24/25 23:00,0,24-May
48007,5/24/25 0:00,0,24-May
48007,5/24/25 1:00,0,24-May
48007,5/24/25 2:00,0,24-May
48007,5/24/25 3:00,0,24-May
48007,5/24/25 4:00,0,24-May
48007,5/24/25 5:00,0,24-May
48007,5/24/25 6:00,0.020833333,24-May
48007,5/24/25 7:00,0.020833333,24-May
48007,5/24/25 8:00,0.010416667,24-May
48007,5/24/25 9:00,0.010416667,24-May
48007,5/24/25 10:00,0.010416667,24-May
48007,5/24/25 11:00,0.010416667,24-May
48007,5/24/25 12:00,0.010416667,24-May
48007,5/24/25 13:00,0.010416667,24-May
48007,5/24/25 14:00,0.010416667,24-May
48007,5/24/25 15:00,0.010416667,24-May
48007,5/24/25 16:00,0.010416667,24-May
48007,5/24/25 17:00,0.010416667,24-May
48007,5/24/25 18:00,0.020833333,24-May
48007,5/24/25 19:00,0.020833333,24-May
48007,5/24/25 20:00,0.010416667,24-May
48007,5/24/25 21:00,0.010416667,24-May
48007,5/24/25 22:00,0.010416667,24-May
48007,5/24/25 23:00,0.010416667,24-May
48009,5/24/25 0:00,0,24-May
48009,5/24/25 1:00,0,24-May
48009,5/24/25 2:00,0,24-May
48009,5/24/25 3:00,0,24-May
48009,5/24/25 4:00,0,24-May
48009,5/24/25 5:00,0,24-May
48009,5/24/25 6:00,0,24-May
48009,5/24/25 7:00,0,24-May
48009,5/24/25 8:00,0,24-May
48009,5/24/25 9:00,0,24-May
48009,5/24/25 10:00,0,24-May
48009,5/24/25 11:00,0,24-May
48009,5/24/25 12:00,0,24-May
48009,5/24/25 13:00,0,24-May
48009,5/24/25 14:00,0,24-May
48009,5/24/25 15:00,0,24-May
48009,5/24/25 16:00,0,24-May
48009,5/24/25 17:00,0,24-May
48009,5/24/25 18:00,0,24-May
48009,5/24/25 19:00,0,24-May
48009,5/24/25 20:00,0,24-May
48009,5/24/25 21:00,0,24-May
48009,5/24/25 22:00,0,24-May
48009,5/24/25 23:00,0,24-May
48011,5/24/25 0:00,0.089285714,24-May
48011,5/24/25 1:00,0.089285714,24-May
48011,5/24/25 2:00,0.089285714,24-May
48011,5/24/25 3:00,0.089285714,24-May
48011,5/24/25 4:00,0.089285714,24-May
48011,5/24/25 5:00,0.089285714,24-May
48011,5/24/25 6:00,0.089285714,24-May
48011,5/24/25 7:00,0.089285714,24-May
48011,5/24/25 8:00,0.089285714,24-May
48011,5/24/25 9:00,0.089285714,24-May
48011,5/24/25 10:00,0.083333333,24-May
48011,5/24/25 11:00,0.083333333,24-May
48011,5/24/25 12:00,0.083333333,24-May
48011,5/24/25 13:00,0.083333333,24-May
48011,5/24/25 14:00,0.083333333,24-May
48011,5/24/25 15:00,0.083333333,24-May
48011,5/24/25 16:00,0.083333333,24-May
48011,5/24/25 17:00,0.089285714,24-May
48011,5/24/25 18:00,0.089285714,24-May
48011,5/24/25 19:00,0.089285714,24-May
48011,5/24/25 20:00,0.089285714,24-May
48011,5/24/25 21:00,0.047619048,24-May
48011,5/24/25 22:00,0.005952381,24-May
48011,5/24/25 23:00,0.005952381,24-May
48013,5/24/25 0:00,0,24-May
48013,5/24/25 1:00,0,24-May
48013,5/24/25 2:00,0,24-May
48013,5/24/25 3:00,0,24-May
48013,5/24/25 4:00,0,24-May
48013,5/24/25 5:00,0.010416667,24-May
48013,5/24/25 6:00,0.005208333,24-May
48013,5/24/25 7:00,0.005208333,24-May
48013,5/24/25 8:00,0.005208333,24-May
48013,5/24/25 9:00,0.005208333,24-May
48013,5/24/25 10:00,0.005208333,24-May
48013,5/24/25 11:00,0.005208333,24-May
48013,5/24/25 12:00,0.005208333,24-May
48013,5/24/25 13:00,0.005208333,24-May
48013,5/24/25 14:00,0.010416667,24-May
48013,5/24/25 15:00,0.005208333,24-May
48013,5/24/25 16:00,0.005208333,24-May
48013,5/24/25 17:00,0.005208333,24-May
48013,5/24/25 18:00,0.005208333,24-May
48013,5/24/25 19:00,0.005208333,24-May
48013,5/24/25 20:00,0.005208333,24-May
48013,5/24/25 21:00,0.005208333,24-May
48013,5/24/25 22:00,0.005208333,24-May
48013,5/24/25 23:00,0.005208333,24-May
48015,5/24/25 0:00,0,24-May
48015,5/24/25 1:00,0,24-May
48015,5/24/25 2:00,0,24-May
48015,5/24/25 3:00,0,24-May
48015,5/24/25 4:00,0,24-May
48015,5/24/25 5:00,0,24-May
48015,5/24/25 6:00,0,24-May
48015,5/24/25 7:00,0,24-May
48015,5/24/25 8:00,0,24-May
48015,5/24/25 9:00,0,24-May
48015,5/24/25 10:00,0,24-May
48015,5/24/25 11:00,0,24-May
48015,5/24/25 12:00,0,24-May
48015,5/24/25 13:00,0,24-May
48015,5/24/25 14:00,0,24-May
48015,5/24/25 15:00,0,24-May
48015,5/24/25 16:00,0.055555556,24-May
48015,5/24/25 17:00,0.097222222,24-May
48015,5/24/25 18:00,0.083333333,24-May
48015,5/24/25 19:00,0.041666667,24-May
48015,5/24/25 20:00,0,24-May
48015,5/24/25 21:00,0,24-May
48015,5/24/25 22:00,0,24-May
48015,5/24/25 23:00,0,24-May
48017,5/24/25 0:00,0,24-May
48017,5/24/25 1:00,0,24-May
48017,5/24/25 2:00,0.010416667,24-May
48017,5/24/25 3:00,0,24-May
48017,5/24/25 4:00,0,24-May
48017,5/24/25 5:00,0.020833333,24-May
48017,5/24/25 6:00,0.010416667,24-May
48017,5/24/25 7:00,0.010416667,24-May
48017,5/24/25 8:00,0.010416667,24-May
48017,5/24/25 9:00,0.010416667,24-May
48017,5/24/25 10:00,0.010416667,24-May
